onset	duration	trial_type	trial_type_err	response_time	accuracy	target_dir	target_pos	correct_resp	resp
25.807	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
26.29	2	Congruent	Congruent	860	1	Left	Up	y	y
41.299	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
42.548	2	Incongruent	Incongruent	905	1	Right	Down	g	g
49.062	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
55.793	2	Congruent	Congruent	839	1	Left	Down	y	y
63.805	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
66.303	2	Congruent	Congruent	673	1	Right	Up	g	g
69.818	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
70.301	2	Congruent	Congruent	519	1	Left	Up	y	y
74.316	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
75.049	2	Incongruent	Incongruent	1083	1	Left	Down	y	y
85.061	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
86.794	2	Incongruent	Incongruent	869	1	Right	Up	g	g
90.058	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
91.041	2	Congruent	Congruent	888	1	Right	Down	g	g
96.055	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
101.04	2	Incongruent	Incongruent	737	1	Left	Down	y	y
104.8	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
116.8	2	Incongruent	Incongruent	979	1	Left	Up	y	y
122.31	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
122.79	2	Congruent	Congruent	715	1	Left	Up	y	y
125.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
129.29	2	Congruent	Congruent	735	1	Right	Down	g	g
133.8	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
145.8	2	Incongruent	Incongruent	694	1	Left	Up	y	y
150.81	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
151.29	2	Incongruent	Incongruent	631	1	Right	Up	g	g
155.81	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
160.79	2	Congruent	Congruent	586	1	Left	Down	y	y
164.8	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
166.54	2	Congruent	Congruent	552	1	Left	Down	y	y
169.55	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
170.03	2	Congruent	Congruent	800	1	Right	Down	g	g
173.8	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
177.28	2	Incongruent	Incongruent	820	1	Right	Up	g	g
185.29	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
186.28	2	Incongruent	Incongruent	761	1	Left	Down	y	y
192.79	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
194.02	2	Incongruent	Incongruent	703	1	Right	Up	g	g
197.54	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
198.02	2	Incongruent	Incongruent	767	1	Right	Down	g	g
213.03	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
215.53	2	Congruent	Congruent	698	1	Left	Down	y	y
218.79	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
219.53	2	Congruent	Congruent	621	1	Left	Up	y	y
225.04	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
231.79	2	Incongruent	Incongruent	751	1	Right	Down	g	g
241.8	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
245.3	2	Congruent	Congruent	647	1	Right	Up	g	g
255.31	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
256.54	2	Congruent	Congruent	637	1	Right	Up	g	g
264.55	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
267.04	2	Congruent	Congruent	564	1	Right	Up	g	g
270.8	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
271.78	2	Incongruent	Incongruent	754	1	Left	Up	y	y
274.8	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
275.28	2	Incongruent	Incongruent	600	1	Right	Down	g	g
279.3	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
286.03	2	Congruent	Congruent	824	1	Left	Down	y	y
289.54	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
290.27	2	Incongruent	Incongruent	732	1	Left	Down	y	y
295.29	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
307.28	2	Incongruent	Incongruent	677	1	Left	Up	y	y
313.8	0.2	CenterCue	CueErr	n/a	n/a	n/a	n/a	n/a	n/a
315.53	2	Incongruent	TargetErr	784	0	Right	Down	g	y
330.54	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
335.54	2	Congruent	Congruent	769	1	Right	Up	g	g
338.8	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
339.28	2	Incongruent	Incongruent	973	1	Left	Up	y	y
344.8	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
345.28	2	Congruent	Congruent	788	1	Right	Down	g	g
