onset	duration	trial_type	trial_type_err	response_time	accuracy	target_dir	target_pos	correct_resp	resp
25.807	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
26.29	2	Incongruent	Incongruent	966	1	Left	Down	y	y
41.3	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
42.549	2	Congruent	Congruent	637	1	Left	Up	y	y
49.062	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
55.809	2	Incongruent	Incongruent	797	1	Right	Down	g	g
63.822	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
66.304	2	Incongruent	Incongruent	896	1	Right	Down	g	g
69.819	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
70.302	2	Incongruent	Incongruent	853	1	Right	Up	g	g
74.317	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
75.05	2	Congruent	Congruent	759	1	Left	Up	y	y
85.061	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
86.81	2	Congruent	Congruent	1062	1	Right	Up	g	g
90.075	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
91.058	2	Incongruent	Incongruent	726	1	Left	Down	y	y
96.072	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
101.05	2	Congruent	Congruent	637	1	Left	Up	y	y
104.82	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
116.81	2	Congruent	Congruent	612	1	Left	Up	y	y
122.33	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
122.81	2	Incongruent	Incongruent	976	1	Right	Up	g	g
125.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
129.31	2	Incongruent	Incongruent	790	1	Left	Up	y	y
133.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
145.81	2	Congruent	Congruent	884	1	Left	Down	y	y
150.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
151.31	2	Congruent	Congruent	575	1	Right	Up	g	g
155.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
160.81	2	Incongruent	Incongruent	812	1	Right	Down	g	g
164.82	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
166.55	2	Incongruent	Incongruent	762	1	Right	Up	g	g
169.57	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
170.05	2	Incongruent	Incongruent	947	1	Left	Up	y	y
173.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
177.3	2	Congruent	Congruent	944	1	Left	Down	y	y
185.31	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
186.29	2	Congruent	Congruent	911	1	Right	Down	g	g
192.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
194.04	2	Congruent	Congruent	687	1	Right	Down	g	g
197.56	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
198.04	2	Congruent	Congruent	687	1	Right	Up	g	g
213.05	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
215.55	2	Incongruent	Incongruent	1067	1	Left	Up	y	y
218.81	0.2	CenterCue	CueErr	n/a	n/a	n/a	n/a	n/a	n/a
219.54	2	Incongruent	TargetErr	634	0	Left	Down	y	g
225.06	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
231.79	2	Congruent	Congruent	898	1	Right	Down	g	g
241.8	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
245.3	2	Incongruent	Incongruent	812	1	Right	Down	g	g
255.31	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
256.56	2	Incongruent	Incongruent	981	1	Left	Up	y	y
264.57	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
267.06	2	Incongruent	Incongruent	871	1	Right	Up	g	g
270.82	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
271.8	2	Congruent	Congruent	791	1	Right	Down	g	g
274.82	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
275.3	2	Congruent	Congruent	890	1	Left	Down	y	y
279.31	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
286.05	2	Incongruent	Incongruent	820	1	Right	Up	g	g
289.56	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
290.29	2	Congruent	Congruent	845	1	Left	Down	y	y
295.31	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
307.3	2	Congruent	Congruent	672	1	Right	Down	g	g
313.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
315.55	2	Congruent	Congruent	658	1	Left	Up	y	y
330.56	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
335.55	2	Incongruent	Incongruent	839	1	Left	Down	y	y
338.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
339.3	2	Congruent	Congruent	690	1	Right	Up	g	g
344.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
345.3	2	Incongruent	Incongruent	770	1	Left	Down	y	y
